,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Zheleznodorozhnyy,55.7503,38.0042,28.99,93,90,8.95,RU,1615682779
360,Babu,24.4167,111.5167,71.44,76,41,0.63,CN,1615682779
361,Iquitos,-3.7481,-73.2472,82.4,74,75,2.3,PE,1615682690
362,Kulhudhuffushi,6.6221,73.07,82.18,77,69,12.5,MV,1615682780
363,Hambantota,6.1241,81.1185,73.4,100,20,3.44,LK,1615682780
364,Porbandar,21.6422,69.6093,73.42,65,0,12.21,IN,1615682780
365,Takoradze,4.8845,-1.7554,80.2,83,100,10.02,GH,1615682781
366,Omboué,-1.5746,9.2618,78.53,87,98,3.76,GA,1615682781
367,Miyako,39.6367,141.9525,42.28,85,100,20.22,JP,1615682781
368,Bilma,18.6853,12.9164,77.61,12,0,6.22,NE,1615682781
369,Port Lincoln,-34.7333,135.8667,59.72,51,100,8.57,AU,1615682782
370,Cabo San Lucas,22.8909,-109.9124,69.01,60,1,9.22,MX,1615682538
371,Husavik,66.0449,-17.3389,21.2,79,0,9.22,IS,1615682782
372,Monte Alegre,-2.0078,-54.0692,73.76,91,100,0.63,BR,1615682783
373,Peachtree City,33.3968,-84.5958,73.4,56,75,4.61,US,1615682701
374,Olafsvik,64.8945,-23.7142,28.42,72,100,14.34,IS,1615682783
375,Kiama,-34.6833,150.8667,63.0,93,100,5.99,AU,1615682590
376,Sinnamary,5.3833,-52.95,77.59,88,100,12.06,GF,1615682783
377,Chifeng,42.2683,118.9636,43.05,43,100,4.61,CN,1615682784
378,Vandavāsi,12.5,79.6167,70.18,81,0,3.2,IN,1615682725
379,Sitka,57.0531,-135.33,33.8,55,20,9.22,US,1615682676
380,Port Hawkesbury,45.6169,-61.3485,28.0,74,90,18.41,CA,1615682784
381,Kirakira,-10.4544,161.9205,76.66,89,100,3.53,SB,1615682785
382,Mukhen,48.1,136.1,36.95,69,0,3.56,RU,1615682785
383,Springfield,37.2153,-93.2982,53.6,94,90,12.66,US,1615682573
384,Guadalupe Victoria,32.2869,-115.105,69.8,21,1,11.5,MX,1615682785
385,Mehamn,71.0357,27.8492,22.42,85,100,5.73,NO,1615682786
386,Bacolod City,10.6667,122.95,82.24,75,50,2.98,PH,1615682786
387,Khovd,48.0056,91.6419,12.45,31,63,16.13,MN,1615682786
388,Aklavik,68.2191,-135.0107,-2.2,60,1,5.75,CA,1615682540
389,Akdepe,42.0551,59.3788,15.8,57,100,6.91,TM,1615682787
390,Hobyo,5.3505,48.5268,79.63,82,99,13.15,SO,1615682787
391,Zhezkazgan,47.8043,67.7144,3.78,77,100,15.08,KZ,1615682787
392,Lac du Bonnet,50.2536,-96.0612,30.88,78,0,6.22,CA,1615682788
393,Amalāpuram,16.5833,82.0167,77.0,78,41,4.61,IN,1615682788
394,Lukaya,-0.1489,31.8748,69.8,94,20,4.61,UG,1615682788
395,Erenhot,43.6475,111.9767,45.64,65,0,11.05,CN,1615682789
396,Te Anau,-45.4167,167.7167,65.77,52,11,11.79,NZ,1615682789
397,Mil'kovo,54.7167,158.6167,23.49,67,2,6.96,RU,1615682789
398,Nagorsk,59.3172,50.8078,12.24,91,100,11.1,RU,1615682790
399,Wagar,16.1525,36.2032,68.56,87,0,9.31,SD,1615682790
400,Sokolniki,50.638,21.8065,48.99,64,100,5.99,PL,1615682791
401,Kadnikov,59.5022,40.338,22.17,94,100,8.14,RU,1615682791
402,Acarí,-15.4311,-74.6158,74.05,82,1,4.25,PE,1615682791
403,Vila,42.0304,-8.1588,45.0,89,30,0.89,PT,1615682792
404,Yerbogachën,61.2767,108.0108,2.17,90,72,11.86,RU,1615682792
405,Chapleau,47.8405,-83.4034,33.8,75,20,8.05,CA,1615682792
406,Esqueda,30.7167,-109.5833,48.6,30,0,17.6,MX,1615682793
407,Kajaani,64.2273,27.7285,30.2,93,90,6.91,FI,1615682793
408,Coahuayana Viejo,18.7333,-103.6833,84.2,39,1,11.5,MX,1615682793
409,Lázaro Cárdenas,17.9583,-102.2,75.47,77,0,4.0,MX,1615682794
410,Namatanai,-3.6667,152.4333,85.41,56,1,3.71,PG,1615682794
411,Comodoro Rivadavia,-45.8667,-67.5,57.2,72,20,6.91,AR,1615682701
412,Jasper,37.2001,-94.3502,61.0,82,90,12.66,US,1615682794
413,Mumford,5.2618,-0.759,81.48,78,100,11.63,GH,1615682795
414,Tromsø,69.6496,18.957,35.6,87,40,8.05,NO,1615682795
415,Barcelos,41.5388,-8.6151,48.0,93,20,3.47,PT,1615682795
416,Anadyr,64.75,177.4833,28.0,80,20,6.71,RU,1615682796
417,Longhua,23.6137,114.1919,73.42,74,43,1.1,CN,1615682796
418,Vila Franca do Campo,37.7167,-25.4333,59.0,100,75,17.27,PT,1615682796
419,Río Tercero,-32.173,-64.1141,64.99,89,6,1.99,AR,1615682797
420,Ouadda,8.0777,22.4007,73.53,41,98,3.71,CF,1615682797
421,Ende,-8.8432,121.6623,84.4,74,97,1.63,ID,1615682797
422,Ostrovnoy,68.0531,39.5131,11.68,92,91,10.42,RU,1615682798
423,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.4,64,15,11.18,RU,1615682704
424,Orlik,52.5178,99.825,-2.04,84,100,6.55,RU,1615682798
425,Nuuk,64.1835,-51.7216,14.0,67,40,14.97,GL,1615682564
426,Uglovoye,44.8215,33.6045,42.01,56,98,4.97,UA,1615682799
427,Road Town,18.4167,-64.6167,77.0,73,40,4.61,VG,1615682641
428,São Félix do Xingu,-6.6447,-51.995,70.93,98,100,1.21,BR,1615682799
429,Flinders,-34.5833,150.8552,63.0,88,100,7.0,AU,1615682799
430,Taman',45.2117,36.7161,37.4,70,97,6.71,RU,1615682800
431,Shamary,57.3434,58.2199,4.89,94,100,9.84,RU,1615682800
432,Manokwari,-0.8667,134.0833,81.9,71,98,3.18,ID,1615682800
433,Mayskiy,47.6931,40.1025,33.8,75,75,11.18,RU,1615682801
434,Haines Junction,60.7522,-137.5108,6.8,43,100,14.97,CA,1615682801
435,Biri,12.6833,124.3636,79.14,87,100,9.15,PH,1615682802
436,Katherine,-14.4667,132.2667,86.0,66,85,4.61,AU,1615682802
437,Samut Songkhram,13.4,99.9583,82.99,90,7,3.38,TH,1615682802
438,Ciudad Bolivar,8.1222,-63.5497,80.85,68,100,8.95,VE,1615682802
439,Vila Velha,-20.3297,-40.2925,77.0,88,0,2.3,BR,1615682798
440,Mkwanga,-7.118,39.2078,77.0,83,40,3.44,TZ,1615682803
441,Aksu,41.1231,80.2644,48.36,34,100,5.3,CN,1615682803
442,Sistranda,63.7256,8.834,35.6,75,0,11.5,NO,1615682804
443,Port-Gentil,-0.7193,8.7815,81.7,78,99,9.8,GA,1615682804
444,Goderich,43.7501,-81.7165,39.2,60,0,13.8,CA,1615682804
445,Jalu,29.0331,21.5482,58.86,40,55,8.68,LY,1615682805
446,Lorengau,-2.0226,147.2712,84.88,64,74,3.62,PG,1615682805
447,Corinth,37.9407,22.9573,51.01,64,100,1.99,GR,1615682805
448,Ossora,59.2353,163.0719,8.44,66,97,3.38,RU,1615682806
449,Deputatsky,69.3,139.9,-18.98,79,0,2.57,RU,1615682806
450,Raja,8.4596,25.678,75.74,29,100,2.39,SS,1615682806
451,Kumul,42.8,93.45,50.68,30,26,6.76,CN,1615682807
452,Marsh Harbour,26.5412,-77.0636,71.47,68,15,10.96,BS,1615682807
453,Kavieng,-2.5744,150.7967,84.69,60,58,2.24,PG,1615682807
454,Puerto Suárez,-18.95,-57.8,77.45,71,67,3.15,BO,1615682808
455,Necochea,-38.5473,-58.7368,66.99,91,86,1.99,AR,1615682808
456,Itaberaí,-16.0203,-49.8103,70.48,90,100,1.61,BR,1615682808
457,Banff,51.1762,-115.5698,57.2,30,100,5.75,CA,1615682616
458,Kedrovyy,56.1667,91.8167,6.8,61,100,17.9,RU,1615682809
459,Puerto Madero,14.7208,-92.4215,84.2,70,75,11.5,MX,1615682809
460,Kagadi,0.9606,30.7967,70.29,50,100,2.08,UG,1615682810
461,Daru,-9.0763,143.2092,81.55,82,100,7.38,PG,1615682810
462,Piltene,57.2243,21.6744,35.6,100,90,8.05,LV,1615682810
463,Nyrob,60.733,56.7202,13.03,93,100,11.68,RU,1615682811
464,Marawi,7.9986,124.2928,82.0,77,85,4.0,PH,1615682811
465,Khani,41.9563,42.9566,42.8,52,0,28.77,GE,1615682811
466,Xihe,31.6864,113.4659,57.25,76,0,8.79,CN,1615682812
467,Ust-Maya,60.4167,134.5333,23.83,86,100,13.51,RU,1615682812
468,Marsá Maţrūḩ,31.3525,27.2453,56.57,78,8,3.36,EG,1615682812
469,Manakara,-22.1333,48.0167,72.84,90,45,2.86,MG,1615682813
470,Pauini,-7.7136,-66.9764,74.79,90,14,1.59,BR,1615682813
471,Solnechnyy,50.7214,136.6319,32.34,84,27,7.31,RU,1615682813
472,Eyrarbakki,63.863,-21.1481,23.0,68,0,5.75,IS,1615682814
473,Gigmoto,13.7796,124.39,77.2,92,100,5.88,PH,1615682814
474,Aykhal,66.0,111.5,2.34,92,100,19.33,RU,1615682814
475,Hervey Bay,-25.2986,152.8535,82.4,65,40,5.75,AU,1615682815
476,Madeji,27.7544,68.4526,84.2,42,40,5.77,PK,1615682815
477,Manta,-0.95,-80.7333,80.6,83,75,3.44,EC,1615682815
478,Tura,25.5198,90.2201,68.83,50,69,0.04,IN,1615682816
479,Lincoln,40.8,-96.667,46.99,81,90,13.8,US,1615682816
480,Srednekolymsk,67.45,153.6833,-13.4,90,52,3.96,RU,1615682816
481,Chara,56.9064,118.2631,21.07,94,100,3.98,RU,1615682816
482,San Felipe,10.3399,-68.7425,71.33,94,88,4.21,VE,1615682817
483,Gamba,-2.65,10.0,78.96,90,100,4.68,GA,1615682817
484,San Matías,-16.3667,-58.4,78.08,76,100,3.78,BO,1615682818
485,Camacha,33.0833,-16.3333,59.0,72,75,14.97,PT,1615682818
486,Moshenskoye,58.5102,34.5911,31.69,92,100,7.43,RU,1615682818
487,Prince Rupert,54.3161,-130.3201,33.8,100,90,8.05,CA,1615682653
488,Pangai,-19.8,-174.35,84.2,65,20,4.61,TO,1615682819
489,San Quintín,30.4833,-115.95,56.71,71,0,19.42,MX,1615682819
490,Florence,43.7667,11.25,55.4,62,75,11.5,IT,1615682819
491,Lakatoro,-16.0999,167.4164,82.38,76,100,6.06,VU,1615682820
492,Kalianget,-7.05,113.9333,82.38,72,19,1.61,ID,1615682820
493,Plátanos,37.6667,21.6167,50.0,93,40,3.2,GR,1615682820
494,Severo-Kuril'sk,50.6789,156.125,31.91,94,92,21.54,RU,1615682821
495,Linxi,39.7,118.4333,49.64,61,100,4.83,CN,1615682821
496,Kidal,18.4411,1.4078,67.57,35,38,10.51,ML,1615682821
497,Troitskoye,52.9821,84.6757,-10.1,99,55,5.84,RU,1615682822
498,Egvekinot,66.3167,-179.1667,25.92,97,100,18.79,RU,1615682822
499,Villanueva de la Serena,38.9766,-5.7974,46.0,74,0,3.0,ES,1615682822
500,Castellammare del Golfo,38.0188,12.8858,59.0,88,40,4.61,IT,1615682823
501,Talas,38.6908,35.5538,30.2,93,75,2.3,TR,1615682823
502,Okha,53.5739,142.9478,31.91,84,100,12.66,RU,1615682823
503,Moree,-29.4667,149.85,73.4,83,90,8.05,AU,1615682824
504,Talā,30.6803,30.9429,47.71,90,0,3.65,EG,1615682824
505,Falkenberg,56.9055,12.4912,35.6,100,90,6.38,SE,1615682824
506,Orange Cove,36.6244,-119.3137,64.99,39,1,3.44,US,1615682740
507,Chapais,49.7834,-74.8492,14.0,92,90,6.91,CA,1615682825
508,Mira,45.4358,12.1348,46.0,100,9,2.3,IT,1615682825
509,Okhotsk,59.3833,143.3,3.6,52,100,2.26,RU,1615682826
510,Lagan,45.3929,47.3707,30.4,65,78,14.76,RU,1615682826
511,Touros,-5.1989,-35.4608,80.6,74,40,9.22,BR,1615682826
512,Lata,40.1629,-8.3327,52.0,89,0,1.01,PT,1615682826
513,Hammerfest,70.6634,23.6821,26.6,86,90,4.61,NO,1615682541
514,George Town,5.4112,100.3354,80.6,88,20,2.3,MY,1615682709
515,Remontnoye,46.5614,43.6501,26.6,80,100,15.66,RU,1615682827
516,Woodward,36.4337,-99.3904,64.4,100,90,16.11,US,1615682827
517,Burnie,-41.0667,145.9167,57.99,50,19,5.99,AU,1615682828
518,Kloulklubed,7.0419,134.2556,82.4,89,75,4.61,PW,1615682828
519,Krasnosel'kup,65.7,82.4667,-21.01,79,69,12.46,RU,1615682828
520,Conceição da Barra,-18.5933,-39.7322,74.75,89,0,5.3,BR,1615682829
521,Riohacha,11.5444,-72.9072,76.68,81,2,14.88,CO,1615682732
522,Sur,22.5667,59.5289,78.57,33,0,14.76,OM,1615682829
523,Masuguru,-11.3667,38.4167,69.89,96,100,3.06,TZ,1615682830
524,Hamilton,39.1834,-84.5333,46.99,48,44,3.04,US,1615682830
525,Nouakchott,18.0858,-15.9785,68.0,77,0,9.22,MR,1615682644
526,Baruun-Urt,46.6806,113.2792,43.02,48,0,20.8,MN,1615682830
527,Ust-Kuyga,70.0167,135.6,-10.91,85,65,6.2,RU,1615682831
528,Cairns,-16.9167,145.7667,88.0,62,75,8.05,AU,1615682831
529,Domoni,-12.2569,44.5319,79.84,82,100,5.39,KM,1615682831
530,Mirny,62.5353,113.9611,4.3,89,14,10.38,RU,1615682832
531,Anori,-3.7728,-61.6442,74.05,86,100,2.77,BR,1615682832
532,Rabo de Peixe,37.8,-25.5833,59.0,100,75,17.27,PT,1615682832
533,Winnemucca,40.973,-117.7357,55.4,18,1,5.75,US,1615682833
534,Mahon,39.8885,4.2658,51.8,87,0,6.91,ES,1615682824
535,Terrace,54.5163,-128.6035,32.0,100,90,4.61,CA,1615682833
536,Mutsu,41.2894,141.2169,42.8,87,75,9.22,JP,1615682833
537,La Santisima Trinidad,-14.8333,-64.9,75.45,77,100,1.72,BO,1615682834
538,Kastamonu Province,41.5,33.6667,34.0,64,34,0.96,TR,1615682834
539,Bengkulu,-3.8004,102.2655,79.36,72,100,3.29,ID,1615682834
540,Winslow,35.0242,-110.6974,39.99,63,99,5.01,US,1615682835
541,Mitsamiouli,-11.3847,43.2844,81.97,72,100,3.6,KM,1615682835
542,Dakar,14.6937,-17.4441,69.8,68,0,9.22,SN,1615682604
543,Luchenza,-16.0069,35.3095,67.93,98,96,6.24,MW,1615682835
544,Bari,41.1177,16.8512,52.0,81,0,5.75,IT,1615682785
545,Lethem,3.3803,-59.7968,77.72,76,90,3.4,GY,1615682836
546,Atambua,-9.1061,124.8925,80.78,77,70,2.13,ID,1615682836
547,Port Montt,-41.4698,-72.9447,51.8,93,0,4.61,CL,1615682836
548,Tuskegee,32.424,-85.6916,75.2,46,1,3.44,US,1615682837
549,Olds,51.7834,-114.102,55.4,40,7,18.41,CA,1615682802
550,Shache,38.4167,77.2406,45.3,35,50,3.98,CN,1615682837
551,Paita,-5.0892,-81.1144,77.88,73,37,14.09,PE,1615682838
552,Cervo,43.6702,-7.4101,52.0,88,100,3.0,ES,1615682838
553,Baoro,5.6667,15.9667,70.56,86,100,5.3,CF,1615682838
554,São Mateus do Maranhão,-4.0417,-44.475,72.91,97,10,3.36,BR,1615682839
555,Bukama,-9.2,25.85,67.03,86,41,1.59,CD,1615682839
556,Jamkhed,18.7362,75.3121,72.0,25,0,5.46,IN,1615682839
557,Newport,51.5877,-2.9984,46.0,75,43,4.0,GB,1615682681
558,Kirovskiy,45.0917,133.5136,32.14,86,2,2.53,RU,1615682840
559,Ørnes,66.8689,13.7078,32.0,80,75,14.97,NO,1615682840
560,Oriximiná,-1.7656,-55.8661,75.6,91,100,2.77,BR,1615682841
561,Denpasar,-8.65,115.2167,86.0,70,20,8.05,ID,1615682840
